MesAno;Regiao;Estacao;Consumo;TEMPERATURA MEDIA, MENSAL (AUT)(°C);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Recomendacao
2004-01;Centro-Oeste;verão;506540,4;24,15;3508,2;2,1100000000000003;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-01;Nordeste;verão;1098663,5;25,84117647058824;4113,0;2,875;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-01;Norte;verão;348584,80000000005;26,2;771,4;1,7999999999999998;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-01;Sudeste;verão;3694385,5;23,55;2511,8;2,34;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-01;Sul;verão;1132506,0;24,0;369,0;2,675;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-02;Centro-Oeste;verão;472102,6;24,288888888888888;2380,6;1,775;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-02;Nordeste;verão;1000320,3;25,72222222222222;2560,6;2,5444444444444443;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-02;Norte;verão;323402,6;25,1;968,0;1,4;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-02;Sudeste;verão;3511541,2;23,25555555555556;1962,2;2,0;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-02;Sul;verão;1121970,5;23,025;261,4;2,3666666666666667;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-03;Sul;outono;1108027,3;22,46666666666667;243,6;2,3666666666666667;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-03;Sudeste;outono;3629455,2;22,966666666666665;1198,6;2,2;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-03;Centro-Oeste;outono;493180,9;24,7;2091,0;1,92;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-03;Nordeste;outono;1049437,2;25,79;3225,6;2,526315789473684;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-03;Norte;outono;320237,3;25,566666666666663;1080,8;1,35;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-04;Centro-Oeste;outono;506070,9;24,40909090909091;1261,4;1,818181818181818;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-04;Nordeste;outono;1097250,6;25,56;2314,2;2,62;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-04;Norte;outono;339774,80000000005;26,066666666666663;894,4;1,3;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-04;Sudeste;outono;3733863,0;22,15;961,0;1,9;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-04;Sul;outono;1132047,1;21,7;169,4;2,9;Energia de Biomassa (região com potencial agrícola)
2004-05;Sul;outono;1082102,6;12,5;77,0;3,2;Energia de Biomassa (região com potencial agrícola)
2004-05;Sudeste;outono;3537268,7;20,56;375,8;1,81;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-05;Centro-Oeste;outono;492808,3;22,89;321,0;2,033333333333333;"Energia Hidrelétrica / PCH (alta precipitação favorável); Energia de Biomassa (região com potencial agrícola)"
2004-05;Nordeste;outono;1033006,9;24,08888888888889;1829,0;2,794117647058824;Energia Hidrelétrica / PCH (alta precipitação favorável)
2004-05;Norte;outono;332154,9;26,4;146,8;2,2;Energia Solar Fotovoltaica (alternativa viável para todas as regiões)
2004-06;Centro-Oeste;inverno;466358,8;21,9;26,6;1,8818181818181816;Energia de Biomassa (região com potencial agrícola)
